Metrica;reta;parabola;curtis;stofells;hericksen;gompertz;logistico;chapman_richards;Estrato
RMSE;1.4331480010320483;1.4238566940396649;1.6240693673472302;1.463786437117603;1.5202251651189067;1.709394219809604;1.4237813097723624;1.4562246831200238;PR1T1
MAE;1.157240625055005;1.159103908374149;1.310742049665355;1.1686296429673708;1.2026410534379555;1.3920992918741233;1.1588703423976403;1.1691099356847177;PR1T1
R²;0.7007581795250224;0.7046256585543208;0.6157186095199887;0.6878267819710777;0.6632899816734208;0.5742793997335455;0.70465693415806;0.6910437537690288;PR1T1
R² Ajustado;0.6962918836970378;0.6979630794239671;0.609983066378496;0.6831674802094521;0.6582644590118301;0.5646766794267833;0.6979950604924523;0.6840748158841197;PR1T1
AIC;491.39447629207837;491.61231114868093;525.6613356889044;497.190426937864;507.5563758185789;541.6912578883087;491.5978041859153;497.7713054745502;PR1T1
BIC;497.2344381437346;500.3722539261653;531.5012975405606;503.03038878952026;513.3963376702351;550.4512006657931;500.3577469633997;506.5312482520346;PR1T1
RMSE;2.0614068787602915;2.054599566671438;2.118208000985456;2.058565350030081;2.075747183980478;2.0540848322824496;2.053712202592362;2.055581408235688;PR1T2
MAE;1.8030523428358287;1.79168424718204;1.8322473777130335;1.7939995477273547;1.8094374186579953;1.7910487209616837;1.7900954191779994;1.793428813071697;PR1T2
R²;0.6499459439354422;0.6522540692292697;0.6303890061062881;0.6509103368533353;0.6450586578589259;0.6524282874762335;0.6525543813841741;0.651921631712082;PR1T2
R² Ajustado;0.6421669649117854;0.6405322962819417;0.6221754284642056;0.6431527887834094;0.6371710724780132;0.6407123870540841;0.6408427313184721;0.6401886530057477;PR1T2
AIC;402.47286547859085;403.85762776225477;407.5286706300183;402.21629849305214;403.7623061969445;403.81102374619695;403.77727859181954;403.946491262689;PR1T2
BIC;407.5380644648974;411.4554262417145;412.5938696163248;407.2814974793587;408.827505183251;411.4088222256567;411.3750770712793;411.54428974214875;PR1T2
RMSE;2.4598064939564903;2.4534728879804057;2.55083642450276;2.4752456860675656;2.512850882584971;2.453475049085311;2.4534554702812907;2.470424362627542;PR2T3
MAE;1.9862156913545264;1.986235520574283;2.0958520613827276;2.017194954394127;2.02371172062101;1.9864736338940072;1.9861786626903575;1.9899214006080777;PR2T3
R²;0.6085752344882858;0.6105883510154326;0.5790683009808472;0.6036461900589687;0.591511487712532;0.6105876650002746;0.610593880019557;0.6051887349753269;PR2T3
R² Ajustado;0.6031762722053655;0.6024756083282541;0.5732623465116174;0.5981792409563338;0.5858771634051188;0.6024749080211136;0.6024812525199643;0.5969635002873128;PR2T3
AIC;690.430280842266;691.6671455667706;701.1865150673603;692.2823446534175;696.7455096733739;691.6674062938295;691.6650441955819;693.7052288425041;PR2T3
BIC;696.4247053897942;700.658782388063;707.1809396148885;698.2767692009456;702.7399342209021;700.6590431151218;700.6566810168742;702.6968656637964;PR2T3
RMSE;2.8155568658903634;2.8143676839449716;3.1053734059260587;2.8372357052189745;2.9541652275004435;2.806062734888784;2.7987475658194567;2.829370494515033;PR2T4
MAE;2.307449183423507;2.3062757408488186;2.6143751475076193;2.3166802040546557;2.42193459623125;2.295375794434137;2.2836159018246427;2.3150482875065928;PR2T4
R²;0.7335000243736712;0.7337250953261274;0.6758125293179627;0.7293803049115293;0.7066148478374683;0.7352942838220559;0.7366726158675486;0.7308786158883029;PR2T4
R² Ajustado;0.7310550704688425;0.7300438754458434;0.6728383323392284;0.7268975554153048;0.7039232409368946;0.731634757791946;0.7330321451191737;0.7271580437577265;PR2T4
AIC;1088.7115794994263;1090.5248564188494;1132.0160454053232;1092.1017955173947;1109.9523549595801;1089.2186254433193;1088.06486415932;1092.8748087669196;PR2T4
BIC;1095.5079049024619;1100.7193445234027;1138.8123708083588;1098.8981209204303;1116.7486803626157;1099.4131135478726;1098.2593522638733;1103.069296871473;PR2T4
RMSE;2.831171503970863;2.8303841072726335;3.0983026001249865;2.8447983215336756;2.968293275271747;2.8252427306957375;2.82214435853508;2.8363199884824635;PR2T5
MAE;2.3479129272005235;2.343257743946639;2.5345177880899334;2.339769607604215;2.4095941273177086;2.3398704666086516;2.338729357889565;2.337066606403157;PR2T5
R²;0.7351453926948963;0.7352926933038312;0.6828075523291322;0.7325896937429462;0.7088687724099463;0.7362534984856435;0.736831669497954;0.7341812407920032;PR2T5
R² Ajustado;0.7336010509613389;0.7329706993854437;0.680958033683821;0.7310304499746836;0.7071712142315787;0.7339399326828859;0.7345231753707431;0.7318494972901787;PR2T5
AIC;1706.0633497962929;1707.8708661200374;1768.4567189016423;1709.3860509946778;1738.7925609074832;1706.6127090056366;1705.853393691697;1709.3206087676758;PR2T5
BIC;1713.7562273464084;1719.4101824452105;1776.1495964517578;1717.0789285447934;1746.4854384575988;1718.1520253308097;1717.39271001687;1720.859925092849;PR2T5
RMSE;1.8875727598127892;1.8864784334155762;1.9724081381071568;1.8932846987394107;1.9242717788480042;1.885460803352613;1.8844822808457435;1.8913437523688044;PR2T6
MAE;1.5363271375584526;1.5336119751441992;1.5839415919914426;1.5322886307381567;1.5563998935650916;1.5334548823868142;1.5336755458482605;1.5366428181024652;PR2T6
R²;0.7364458450669126;0.7367513492259317;0.7122230295840217;0.7348483617757964;0.7260979479863178;0.7370352830169994;0.7373081607369166;0.7353917362717763;PR2T6
R² Ajustado;0.7305232797875174;0.7277769634040885;0.7057561313724268;0.7288898979954772;0.7199428456938755;0.7280705767562152;0.7283527571256752;0.7263710000083141;PR2T6
AIC;381.9783720440205;383.87166651597056;390.06764715835305;382.5343292963685;385.5214484112499;383.772383932464;383.6768662329729;384.3456005119629;PR2T6
BIC;387.0219491981186;391.43703224711766;395.11122431245116;387.5779064504666;390.565025565348;391.3377496636111;391.24223196412;391.91096624311;PR2T6
RMSE;1.6708873269496651;1.588809880987625;2.030648941410921;1.7436671890467899;1.8880231327986479;2.5060188318570216;1.5970998751365253;1.714675117993721;PR3T7
MAE;1.3077397554614982;1.2425090918010557;1.6137958798116958;1.3885904390322599;1.4892219576868888;1.9312542288551067;1.2445142223842467;1.3387491542410501;PR3T7
R²;0.7832514065388471;0.8040226765895566;0.6798661070181825;0.7639580745675854;0.7232570411053743;0.5124371373860401;0.8019722243795195;0.7717421883533404;PR3T7
R² Ajustado;0.780454650494187;0.8002049365231194;0.6757353471087397;0.7609123723039413;0.7196861642164114;0.5029391595429111;0.7981145404388608;0.7672956076069769;PR3T7
AIC;614.6046992409952;600.6879102599559;676.2248884353891;628.0775666898362;653.2121576726861;744.6923137770725;602.332428946281;624.7792426564487;PR3T7
BIC;620.7298893070491;609.8756953590367;682.350078501443;634.2027567558902;659.33734773874;753.8800988761534;611.5202140453619;633.9670277555296;PR3T7
RMSE;2.6666949755367066;2.4655977497558563;2.9764521761574554;2.7249095097784695;2.8790900357153992;5.259998019470724;2.5463446152100735;2.6842536391830967;PR3T8
MAE;2.2257749374127154;1.9575434826874267;2.5099310774889956;2.2872856057057427;2.4538398526094936;3.9035188888033545;2.063558444600532;2.228403702434822;PR3T8
R²;0.6906716842105058;0.7355659103517976;0.6146362942535162;0.6770188616871544;0.6394350688270263;-0.20349461932980484;0.7179621790045934;0.6865847727263129;PR3T8
R² Ajustado;0.682422929122786;0.7248456094201137;0.6043599287669432;0.6684060313321452;0.6298200039957469;-0.2522849417350672;0.7065282132885633;0.6738787499990013;PR3T8
AIC;378.3654307098654;368.1341577566184;395.5086104092993;381.73430552225005;390.32039954648366;486.33479261472775;373.1611912366645;381.3892347332429;PR3T8
BIC;383.07884836324456;375.20428423668716;400.2220280626785;386.4477231756292;395.0338171998628;493.4049190947965;380.23131771673326;388.4593612133117;PR3T8
RMSE;2.1372556216884706;2.1354045825867867;2.275753098177581;2.1631378945054553;2.1987125072172793;2.134837766134667;2.1338113625069903;2.156989015720603;PR4T9
MAE;1.7572664570481031;1.7498970798310594;1.919325348707829;1.7977695282902206;1.8574878000890966;1.750948197784068;1.7502263228976376;1.7963462507762769;PR4T9
R²;0.5279810994216558;0.5287983597192121;0.4648238658386964;0.5164795311452386;0.5004449581111842;0.5290484756897297;0.5295012221771531;0.519224509281141;PR4T9
R² Ajustado;0.5172533971357844;0.5125500272957366;0.4526607718804849;0.5054904295803576;0.48909143443189285;0.5128087679548927;0.5132771263901584;0.5026460440839389;PR4T9
AIC;400.47992374222144;402.32222847909424;411.9074204649985;402.6707141960486;405.63951068448426;402.2739124415174;402.1863880476365;404.1526290944803;PR4T9
BIC;405.50164275525515;409.8548069986448;416.9291394780322;407.6924332090823;410.66122969751797;409.80649096106794;409.71896656718707;411.68520761403084;PR4T9
