Metrica;reta;parabola;curtis;stofells;hericksen;gompertz;logistico;chapman_richards;Estrato
RMSE;1.3478156646177184;1.3126044745090157;1.5286745315481536;1.3789897012021346;1.4375182343844939;1.567942769150145;1.3107092418259005;1.3811751774662466;PR1T1
MAE;1.1177354888670683;1.1168224406079912;1.2170094181980027;1.1258990505142286;1.1424772734618491;1.25841568984618;1.1156246121440807;1.1237715577258;PR1T1
R²;0.69997451956255;0.7154458645965669;0.6140534163503599;0.6859352561862316;0.6587097627201399;0.5939705320254531;0.7162669907935589;0.684938983416355;PR1T1
R² Ajustado;0.689259323832641;0.6999247299381979;0.6002696097914442;0.6747186581928828;0.6465208256744306;0.5718234701359324;0.700790644836844;0.6677538370572471;PR1T1
AIC;206.65600710527906;205.5323177272692;221.5140697187905;209.35418031413707;214.25909196913076;226.50694871363365;205.36181772635518;211.54104324761678;PR1T1
BIC;210.8110819930905;211.76493005898635;225.66914460660195;213.50925520194852;218.41416685694222;232.7395610453508;211.59443005807233;217.77365557933393;PR1T1
RMSE;2.1463828842474086;2.154952498908419;2.0949114523711603;2.1248222617460657;2.153678725196094;2.1580960718520665;2.1622842472983996;2.1513518732595776;PR1T2
MAE;1.9531112259595378;1.947990856738376;1.851740945197608;1.9181551414038744;1.9233704398879161;1.950108824634563;1.9529965585178553;1.9454631446570538;PR1T2
R²;0.36359959534749176;0.3585076860995098;0.3937560801619411;0.3763207865698206;0.3592658230435196;0.3566347457531327;0.35413518958979306;0.3606495839139523;PR1T2
R² Ajustado;0.3291995734743832;0.3050499932744689;0.360986138549073;0.3426083966546758;0.3246315432080341;0.3030209745658937;0.3003131220556091;0.3073703825734483;PR1T2
AIC;178.6178063307923;180.93657713980593;176.67598556114;177.81013524413135;178.88927585331635;181.05319343841597;181.20829744126297;180.80279648050305;PR1T2
BIC;181.99556523902015;186.00321550214775;180.05374446936787;181.1878941523592;182.2670347615442;186.1198318007578;186.2749358036048;185.86943484284487;PR1T2
RMSE;2.7586065005940217;2.735927851953302;2.887281481884498;2.7639581605627894;2.8513847129480316;2.7357899426454657;2.7359837245194987;2.7774664564713074;PR2T3
MAE;2.2722988808852875;2.265151847133362;2.376569771597864;2.2863458547667657;2.3260607769712998;2.2646815803886566;2.2650636267112723;2.283420945084628;PR2T3
R²;0.57181104667793;0.5788224348863018;0.5309337356619113;0.5701480734043738;0.5425247721096382;0.5788648942241955;0.5788052323042554;0.5659361744507603;PR2T3
R² Ajustado;0.5577720646017966;0.5577635566306169;0.5155545138803346;0.5560545676143532;0.5275255843099542;0.5578081389354053;0.5577454939194681;0.5442329831732983;PR2T3
